ProductId,ProductName,ProductDesc,ProductImgPath,ProductBrand
25,Sharp MX-M464N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 46 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>600 x 600 dpi printing & colour network scanning</li>
<li>7.0"" colour LCD touch-screen with thumbnail views</li>
<li>100-sheet Reversing Single Pass Feeder (RSPF) and quick scanning at 56 ipm (one sided) in colour and B/W</li>
<li>Standard-equipped security functions include the encryption and erasure of internally stored data</li>
<li>Optional Wireless LAN Adaptor</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m564n-4ks-full-slant-260.jpg"">",Sharp
26,Sharp MX-M365N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 36 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>High-quality 1200 x 1200 dpi printing & colour network scanning</li>
<li>10.1"" colour LCD touch-screen with multi-touch gestures (pinch and spread) for easy zooming</li>
<li>150-sheet high speed Duplex Single Pass Feeder (DSPF) and quick scanning at 85 ipm (one sided) in B/W and colour</li>
<li>Standard-equipped security functions include encryption and erasing of internally stored data</li>
<li>Optional internet browsing and printing of Web pages via the MFPs LCD</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m565n-4ks-p-slant-260.jpg"">",Sharp
27,Sharp MX-M364N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 36 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>600 x 600 dpi printing & colour network scanning</li>
<li>7.0"" colour LCD touch-screen with thumbnail views</li>
<li>100-sheet Reversing Single Pass Feeder (RSPF) and quick scanning at 56 ipm (one sided) in colour and B/W</li>
<li>Standard-equipped security functions include the encryption and erasure of internally stored data</li>
<li>Optional Wireless LAN Adaptor</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m564n-4ks-full-slant-260.jpg"">",Sharp
28,Sharp MX-M354N,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 35 B/W</li>
<li>Paper capacity: Std 1100 Max 2100 sheets</li>
<li>Standard network printing and colour network scanning</li>
<li>Standard Reversing Single Pass Feeder and standard duplex module</li>
<li>Space-saving inner finisher option</li>
<li>Retractable keyboard option for easy text entry</li>
<li>7.0 inch touchscreen colour LCD control panel with thumbnail previews</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-sharp-MX-M354N-full-slant-960.jpg"">",Sharp
29,Sharp MX-M314N,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 31 B/W</li>
<li>Paper capacity: Std 1100 Max 2100 sheets</li>
<li>Standard network printing and colour network scanning</li>
<li>Standard Reversing Single Pass Feeder and standard duplex module</li>
<li>Space-saving inner finisher option</li>
<li>Retractable keyboard option for easy text entry</li>
<li>7.0 inch touchscreen colour LCD control panel with thumbnail previews</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-sharp-MX-M314N-full-slant-960.jpg"">",Sharp
30,Sharp MX-M264N,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 26 B/W</li>
<li>Paper capacity: Std 1100 Max 2100 sheets</li>
<li>Standard network printing and colour network scanning</li>
<li>Standard Reversing Single Pass Feeder and standard duplex module</li>
<li>Space-saving inner finisher option</li>
<li>Retractable keyboard option for easy text entry</li>
<li>7.0 inch touchscreen colour LCD control panel with thumbnail previews</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-sharp-MX-M264N-full-slant-960.jpg"">",Sharp
31,Sharp MX-M232D,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 23 B/W</li>
<li>Paper capacity: Std 600 Max 1100 sheets</li>
<li>Full colour A3 scanning</li>
<li>Standard Duplex and E-sort function</li>
<li>Optional Document Feeders for increased productivity</li>
<li>Optional Network Printing/Scanning</li>
<li>Optional Scan to USB memory</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-MX-M232D-full-beauty-960.jpg"">",Sharp
32,Sharp MX-M202D,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 20 B/W</li>
<li>Paper capacity: Std 600 Max 1100 sheets</li>
<li>Full colour A3 scanning</li>
<li>Standard Duplex and E-sort function</li>
<li>Optional Document Feeder for increased productivity</li>
<li>Optional Network Printing/Scanning</li>
<li>Scan to USB memory</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-M202D-full-beauty-960.jpg"">",Sharp
33,Sharp MX-M182D,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 18 B/W</li>
<li>Paper capacity: Std 350 Max 1100 sheets</li>
<li>Full colour A3 scanning</li>
<li>Standard Duplex and E-sort function</li>
<li>Optional Document Feeder for increased productivity</li>
<li>Optional Network Printing/Scanning</li>
<li>Scan to USB memory</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-M182D-full-beauty-960.jpg"">",Sharp
34,Sharp MX-B382,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 38 B/W</li>
<li>Paper capacity: Std 600 Max 2100 sheets</li>
<li>A4 Mono MFP with space-saving inner finisher</li>
<li>7.0"" colour touch-screen LCD display with thumbnail views</li>
<li>High-quality 1200 x 1200 dpi printing</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Sharp OSA (Open Systems Architecture) allows integration with network applications and makes them accessible from the LCD control panel</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-sharp-document-systems-MX-B382-slant-finisher-960.jpg"">",Sharp
